SN,Province,District ,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status
3099,Province 1,Morang,Sunwarshi Urban Municipality,Ward Member,5,48,M,Nepali Congress,563,Elected
3100,Province 1,Morang,Sunwarshi Urban Municipality,Female Ward Member,5,62,F,Nepali Congress,620,Elected
3101,Province 1,Morang,Sunwarshi Urban Municipality,Dalit Female Ward Member,5,55,F,Nepali Congress,619,Elected
3102,Province 1,Morang,Sunwarshi Urban Municipality,Ward President,6,51,M,Nepali Congress,800,Elected
3103,Province 1,Morang,Sunwarshi Urban Municipality,Ward Member,6,54,M,Nepali Congress,660,Elected
3104,Province 1,Morang,Sunwarshi Urban Municipality,Ward Member,6,58,M,Communist Party of Nepal (Maoist Centre),658,Elected
3105,Province 1,Morang,Sunwarshi Urban Municipality,Female Ward Member,6,44,F,Nepali Congress,776,Elected
3106,Province 1,Morang,Sunwarshi Urban Municipality,Dalit Female Ward Member,6,60,F,Nepali Congress,714,Elected
3107,Province 1,Morang,Sunwarshi Urban Municipality,Ward President,7,34,M,Federal Democratic National Front,872,Elected
3108,Province 1,Morang,Sunwarshi Urban Municipality,Ward Member,7,38,M,Federal Democratic National Front,742,Elected
3109,Province 1,Morang,Sunwarshi Urban Municipality,Ward Member,7,56,M,Nepali Congress,730,Elected
3110,Province 1,Morang,Sunwarshi Urban Municipality,Female Ward Member,7,44,F,Federal Democratic National Front,781,Elected
3111,Province 1,Morang,Sunwarshi Urban Municipality,Dalit Female Ward Member,7,26,F,Federal Democratic National Front,786,Elected
3112,Province 1,Morang,Sunwarshi Urban Municipality,Ward President,8,38,M,Communist Party of Nepal (UML),483,Elected
3113,Province 1,Morang,Sunwarshi Urban Municipality,Ward Member,8,57,M,Nepali Congress,469,Elected
3114,Province 1,Morang,Sunwarshi Urban Municipality,Ward Member,8,66,M,Communist Party of Nepal (UML),417,Elected
3115,Province 1,Morang,Sunwarshi Urban Municipality,Female Ward Member,8,42,F,Communist Party of Nepal (UML),423,Elected
3116,Province 1,Morang,Sunwarshi Urban Municipality,Dalit Female Ward Member,8,56,F,Communist Party of Nepal (UML),432,Elected
3117,Province 1,Morang,Sunwarshi Urban Municipality,Ward President,9,46,M,Nepali Congress,1019,Elected
3118,Province 1,Morang,Sunwarshi Urban Municipality,Ward Member,9,50,M,Nepali Congress,683,Elected
3119,Province 1,Morang,Sunwarshi Urban Municipality,Ward Member,9,56,M,Nepali Congress,575,Elected
3120,Province 1,Morang,Sunwarshi Urban Municipality,Female Ward Member,9,40,F,Nepali Congress,715,Elected
3121,Province 1,Morang,Sunwarshi Urban Municipality,Dalit Female Ward Member,9,30,F,Nepali Congress,684,Elected
3122,Province 1,Morang,Sundarharaicha Urban Municipality,Mayor,,41,M,Nepali Congress Party,16822,Elected
3123,Province 1,Morang,Sundarharaicha Urban Municipality,Vice-Mayor,,58,F,Communist Party of Nepal (UML),15801,Elected
3124,Province 1,Morang,Sundarharaicha Urban Municipality,Ward President,1,56,M,Communist Party of Nepal (UML),1483,Elected
3125,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,1,46,M,Communist Party of Nepal (UML),1372,Elected
3126,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,1,51,M,Communist Party of Nepal (UML),1284,Elected
3127,Province 1,Morang,Sundarharaicha Urban Municipality,Female Ward Member,1,51,F,Communist Party of Nepal (UML),1351,Elected
3128,Province 1,Morang,Sundarharaicha Urban Municipality,Dalit Female Ward Member,1,34,F,Communist Party of Nepal (UML),1409,Elected
3129,Province 1,Morang,Sundarharaicha Urban Municipality,Ward President,2,51,M,Nepali Congress Party,1197,Elected
3130,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,2,50,M,Communist Party of Nepal (UML),1198,Elected
3131,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,2,32,M,Communist Party of Nepal (UML),1069,Elected
3132,Province 1,Morang,Sundarharaicha Urban Municipality,Female Ward Member,2,52,F,Communist Party of Nepal (UML),1111,Elected
3133,Province 1,Morang,Sundarharaicha Urban Municipality,Dalit Female Ward Member,2,41,F,Communist Party of Nepal (UML),1113,Elected
3134,Province 1,Morang,Sundarharaicha Urban Municipality,Ward President,3,38,M,Nepali Congress Party,1577,Elected
3135,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,3,41,M,Nepali Congress Party,1413,Elected
3136,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,3,34,M,Nepali Congress Party,1370,Elected
3137,Province 1,Morang,Sundarharaicha Urban Municipality,Female Ward Member,3,58,F,Nepali Congress Party,1372,Elected
3138,Province 1,Morang,Sundarharaicha Urban Municipality,Dalit Female Ward Member,3,47,F,Nepali Congress Party,1413,Elected
3139,Province 1,Morang,Sundarharaicha Urban Municipality,Ward President,4,36,M,Nepali Congress Party,1696,Elected
3140,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,4,42,M,Nepali Congress Party,1529,Elected
3141,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,4,68,M,Nepali Congress Party,1428,Elected
3142,Province 1,Morang,Sundarharaicha Urban Municipality,Female Ward Member,4,42,F,Nepali Congress Party,1558,Elected
3143,Province 1,Morang,Sundarharaicha Urban Municipality,Dalit Female Ward Member,4,38,F,Nepali Congress Party,1515,Elected
3144,Province 1,Morang,Sundarharaicha Urban Municipality,Ward President,5,50,M,Nepali Congress Party,1428,Elected
3145,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,5,39,M,Communist Party of Nepal (UML),1581,Elected
3146,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,5,50,M,Communist Party of Nepal (UML),1513,Elected
3147,Province 1,Morang,Sundarharaicha Urban Municipality,Female Ward Member,5,40,F,Communist Party of Nepal (UML),1522,Elected
3148,Province 1,Morang,Sundarharaicha Urban Municipality,Dalit Female Ward Member,5,33,F,Communist Party of Nepal (UML),1528,Elected
3149,Province 1,Morang,Sundarharaicha Urban Municipality,Ward President,6,57,M,Communist Party of Nepal (UML),1328,Elected
3150,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,6,50,M,Communist Party of Nepal (UML),1334,Elected
3151,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,6,34,M,Communist Party of Nepal (UML),1285,Elected
3152,Province 1,Morang,Sundarharaicha Urban Municipality,Female Ward Member,6,54,F,Communist Party of Nepal (UML),1327,Elected
3153,Province 1,Morang,Sundarharaicha Urban Municipality,Dalit Female Ward Member,6,36,F,Communist Party of Nepal (UML),1314,Elected
3154,Province 1,Morang,Sundarharaicha Urban Municipality,Ward President,7,53,M,Nepali Congress Party,1495,Elected
3155,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,7,47,M,Nepali Congress Party,1460,Elected
3156,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,7,70,M,Nepali Congress Party,1417,Elected
3157,Province 1,Morang,Sundarharaicha Urban Municipality,Female Ward Member,7,54,F,Nepali Congress Party,1349,Elected
3158,Province 1,Morang,Sundarharaicha Urban Municipality,Dalit Female Ward Member,7,37,F,Nepali Congress Party,1392,Elected
3159,Province 1,Morang,Sundarharaicha Urban Municipality,Ward President,8,51,M,Communist Party of Nepal (UML),1229,Elected
3160,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,8,44,M,Nepali Congress Party,1037,Elected
3161,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,8,33,M,Communist Party of Nepal (UML),1030,Elected
3162,Province 1,Morang,Sundarharaicha Urban Municipality,Female Ward Member,8,49,F,Communist Party of Nepal (UML),1195,Elected
3163,Province 1,Morang,Sundarharaicha Urban Municipality,Dalit Female Ward Member,8,39,F,Communist Party of Nepal (UML),1192,Elected
3164,Province 1,Morang,Sundarharaicha Urban Municipality,Ward President,9,56,M,Communist Party of Nepal (UML),1435,Elected
3165,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,9,53,M,Communist Party of Nepal (UML),1474,Elected
3166,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,9,45,M,Communist Party of Nepal (UML),1398,Elected
3167,Province 1,Morang,Sundarharaicha Urban Municipality,Female Ward Member,9,39,F,Communist Party of Nepal (UML),1515,Elected
3168,Province 1,Morang,Sundarharaicha Urban Municipality,Dalit Female Ward Member,9,39,F,Communist Party of Nepal (UML),1500,Elected
3169,Province 1,Morang,Sundarharaicha Urban Municipality,Ward President,10,46,M,Communist Party of Nepal (UML),1651,Elected
3170,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,10,43,M,Communist Party of Nepal (UML),1818,Elected
3171,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,10,54,M,Communist Party of Nepal (UML),1784,Elected
3172,Province 1,Morang,Sundarharaicha Urban Municipality,Female Ward Member,10,47,F,Communist Party of Nepal (UML),1953,Elected
3173,Province 1,Morang,Sundarharaicha Urban Municipality,Dalit Female Ward Member,10,54,F,Communist Party of Nepal (UML),1930,Elected
3174,Province 1,Morang,Sundarharaicha Urban Municipality,Ward President,11,52,M,Communist Party of Nepal (UML),1601,Elected
3175,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,11,41,M,Communist Party of Nepal (UML),1492,Elected
3176,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,11,57,M,Communist Party of Nepal (UML),1421,Elected
3177,Province 1,Morang,Sundarharaicha Urban Municipality,Female Ward Member,11,26,F,Communist Party of Nepal (UML),1665,Elected
3178,Province 1,Morang,Sundarharaicha Urban Municipality,Dalit Female Ward Member,11,45,F,Communist Party of Nepal (UML),1620,Elected
3179,Province 1,Morang,Sundarharaicha Urban Municipality,Ward President,12,40,M,Communist Party of Nepal (UML),1648,Elected
3180,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,12,47,M,Communist Party of Nepal (UML),1399,Elected
3181,Province 1,Morang,Sundarharaicha Urban Municipality,Ward Member,12,61,M,Communist Party of Nepal (UML),1383,Elected
3182,Province 1,Morang,Sundarharaicha Urban Municipality,Female Ward Member,12,58,F,Communist Party of Nepal (UML),1489,Elected
3183,Province 1,Morang,Sundarharaicha Urban Municipality,Dalit Female Ward Member,12,25,F,Communist Party of Nepal (UML),1502,Elected
3184,Province 1,Sunsari,Itahari Sub-Metropolitian City,Mayor,,52,M,Communist Party of Nepal (UML),22689,Elected
3185,Province 1,Sunsari,Itahari Sub-Metropolitian City,Vice-Mayor,,48,F,Communist Party of Nepal (UML),21842,Elected
3186,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward President,1,51,M,Nepali Congress,965,Elected
3187,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward Member,1,39,M,Nepali Congress,965,Elected
3188,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward Member,1,34,M,Nepali Congress,963,Elected
3189,Province 1,Sunsari,Itahari Sub-Metropolitian City,Female Ward Member,1,55,F,Nepali Congress,938,Elected
3190,Province 1,Sunsari,Itahari Sub-Metropolitian City,Dalit Female Ward Member,1,43,F,Nepali Congress,962,Elected
3191,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward President,2,49,M,Communist Party of Nepal (UML),2218,Elected
3192,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward Member,2,61,M,Communist Party of Nepal (UML),2324,Elected
3193,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward Member,2,31,M,Communist Party of Nepal (UML),2256,Elected
3194,Province 1,Sunsari,Itahari Sub-Metropolitian City,Female Ward Member,2,47,F,Communist Party of Nepal (UML),2400,Elected
3195,Province 1,Sunsari,Itahari Sub-Metropolitian City,Dalit Female Ward Member,2,33,F,Communist Party of Nepal (UML),2390,Elected
3196,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward President,3,40,M,Nepali Congress,1101,Elected
3197,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward Member,3,26,M,Nepali Congress,1084,Elected
3198,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward Member,3,32,M,Nepali Congress,1048,Elected
3199,Province 1,Sunsari,Itahari Sub-Metropolitian City,Female Ward Member,3,66,F,Nepali Congress,1024,Elected
3200,Province 1,Sunsari,Itahari Sub-Metropolitian City,Dalit Female Ward Member,3,30,F,Nepali Congress,1040,Elected
3201,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward President,4,51,M,Communist Party of Nepal (UML),2203,Elected
3202,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward Member,4,46,M,Communist Party of Nepal (UML),2197,Elected
3203,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward Member,4,65,M,Communist Party of Nepal (UML),2142,Elected
3204,Province 1,Sunsari,Itahari Sub-Metropolitian City,Female Ward Member,4,50,F,Communist Party of Nepal (UML),2398,Elected
3205,Province 1,Sunsari,Itahari Sub-Metropolitian City,Dalit Female Ward Member,4,52,F,Communist Party of Nepal (UML),2405,Elected
3206,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward President,5,56,M,Communist Party of Nepal (UML),2682,Elected
3207,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward Member,5,37,M,Communist Party of Nepal (UML),2637,Elected
3208,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward Member,5,45,M,Communist Party of Nepal (UML),2613,Elected
3209,Province 1,Sunsari,Itahari Sub-Metropolitian City,Female Ward Member,5,45,F,Communist Party of Nepal (UML),2781,Elected
3210,Province 1,Sunsari,Itahari Sub-Metropolitian City,Dalit Female Ward Member,5,38,F,Communist Party of Nepal (UML),2749,Elected
3211,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward President,6,38,M,Nepali Congress,948,Elected
3212,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward Member,6,32,M,Communist Party of Nepal (UML),1016,Elected
3213,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward Member,6,64,M,Communist Party of Nepal (UML),967,Elected
3214,Province 1,Sunsari,Itahari Sub-Metropolitian City,Female Ward Member,6,59,F,Communist Party of Nepal (UML),1031,Elected
3215,Province 1,Sunsari,Itahari Sub-Metropolitian City,Dalit Female Ward Member,6,41,F,Communist Party of Nepal (UML),1028,Elected
3216,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward President,7,39,M,Nepali Congress,684,Elected
3217,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward Member,7,63,M,Communist Party of Nepal (UML),698,Elected
3218,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward Member,7,43,M,Communist Party of Nepal (UML),655,Elected
3219,Province 1,Sunsari,Itahari Sub-Metropolitian City,Female Ward Member,7,46,F,Communist Party of Nepal (UML),700,Elected
3220,Province 1,Sunsari,Itahari Sub-Metropolitian City,Dalit Female Ward Member,7,36,F,Communist Party of Nepal (UML),694,Elected
3221,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward President,8,27,M,Nepali Congress,1475,Elected
3222,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward Member,8,53,M,Nepali Congress,1194,Elected
3223,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward Member,8,49,M,Nepali Congress,1178,Elected
3224,Province 1,Sunsari,Itahari Sub-Metropolitian City,Female Ward Member,8,49,F,Nepali Congress,1262,Elected
3225,Province 1,Sunsari,Itahari Sub-Metropolitian City,Dalit Female Ward Member,8,45,F,Nepali Congress,1279,Elected
3226,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward President,9,57,M,Communist Party of Nepal (UML),1016,Elected
3227,Province 1,Sunsari,Itahari Sub-Metropolitian City,Ward Member,9,55,M,Communist Party of Nepal (UML),1057,Elected
