SN,Province,District,Administrative Division,Position,Ward,Age,Gender,Party,Votes,Status
247,Province 7,Bajura,Budhiganga Urban Municipality,Dalit Female Ward Member,10,45,F,Communist Party of Nepal (UML),426,Elected
248,Province 7,Bajura,Budhinanda Urban Municipality,Mayor,  ,39,M,Nepali Congress,3336,Elected
249,Province 7,Bajura,Budhinanda Urban Municipality,Vice-Mayor,  ,25,F,Communist Party of Nepal (UML),3308,Elected
250,Province 7,Bajura,Budhinanda Urban Municipality,Ward President,1,40,M,Nepali Congress,405,Elected
251,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,1,39,M,Nepali Congress,379,Elected
252,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,1,34,M,Nepali Congress,379,Elected
253,Province 7,Bajura,Budhinanda Urban Municipality,Female Ward Member,1,46,F,Nepali Congress,377,Elected
254,Province 7,Bajura,Budhinanda Urban Municipality,Dalit Female Ward Member,1,35,F,Nepali Congress,382,Elected
255,Province 7,Bajura,Budhinanda Urban Municipality,Ward President,2,62,M,Nepali Congress,274,Elected
256,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,2,33,M,Nepali Congress,288,Elected
257,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,2,41,M,Communist Party of Nepal (UML),258,Elected
258,Province 7,Bajura,Budhinanda Urban Municipality,Female Ward Member,2,41,F,Communist Party of Nepal (UML),279,Elected
259,Province 7,Bajura,Budhinanda Urban Municipality,Dalit Female Ward Member,2,34,F,Communist Party of Nepal (UML),260,Elected
260,Province 7,Bajura,Budhinanda Urban Municipality,Ward President,3,42,M,Nepali Congress,507,Elected
261,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,3,62,M,Nepali Congress,498,Elected
262,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,3,59,M,Nepali Congress,497,Elected
263,Province 7,Bajura,Budhinanda Urban Municipality,Female Ward Member,3,33,F,Nepali Congress,512,Elected
264,Province 7,Bajura,Budhinanda Urban Municipality,Dalit Female Ward Member,3,48,F,Nepali Congress,496,Elected
265,Province 7,Bajura,Budhinanda Urban Municipality,Ward President,4,29,M,Communist Party of Nepal (UML),367,Elected
266,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,4,50,M,Communist Party of Nepal (UML),370,Elected
267,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,4,45,M,Communist Party of Nepal (UML),364,Elected
268,Province 7,Bajura,Budhinanda Urban Municipality,Female Ward Member,4,32,F,Communist Party of Nepal (UML),378,Elected
269,Province 7,Bajura,Budhinanda Urban Municipality,Dalit Female Ward Member,4,37,F,Communist Party of Nepal (UML),373,Elected
270,Province 7,Bajura,Budhinanda Urban Municipality,Ward President,5,41,M,Nepali Congress,363,Elected
271,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,5,37,M,Nepali Congress,370,Elected
272,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,5,34,M,Nepali Congress,366,Elected
273,Province 7,Bajura,Budhinanda Urban Municipality,Female Ward Member,5,57,F,Nepali Congress,365,Elected
274,Province 7,Bajura,Budhinanda Urban Municipality,Dalit Female Ward Member,5,54,F,Nepali Congress,363,Elected
275,Province 7,Bajura,Budhinanda Urban Municipality,Ward President,6,42,M,Communist Party of Nepal (UML),275,Elected
276,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,6,75,M,Independent,250,Elected
277,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,6,59,M,Independent,243,Elected
278,Province 7,Bajura,Budhinanda Urban Municipality,Female Ward Member,6,42,F,Nepali Congress,261,Elected
279,Province 7,Bajura,Budhinanda Urban Municipality,Dalit Female Ward Member,6,31,F,Communist Party of Nepal (UML),256,Elected
280,Province 7,Bajura,Budhinanda Urban Municipality,Ward President,7,35,M,Nepali Congress,620,Elected
281,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,7,65,M,Nepali Congress,617,Elected
282,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,7,35,M,Nepali Congress,614,Elected
283,Province 7,Bajura,Budhinanda Urban Municipality,Female Ward Member,7,30,F,Nepali Congress,607,Elected
284,Province 7,Bajura,Budhinanda Urban Municipality,Dalit Female Ward Member,7,66,F,Nepali Congress,612,Elected
285,Province 7,Bajura,Budhinanda Urban Municipality,Ward President,8,37,M,Nepali Congress,288,Elected
286,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,8,34,M,Nepali Congress,292,Elected
287,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,8,29,M,Nepali Congress,278,Elected
288,Province 7,Bajura,Budhinanda Urban Municipality,Female Ward Member,8,41,F,Nepali Congress,278,Elected
289,Province 7,Bajura,Budhinanda Urban Municipality,Dalit Female Ward Member,8,54,F,Nepali Congress,281,Elected
290,Province 7,Bajura,Budhinanda Urban Municipality,Ward President,9,35,M,Communist Party of Nepal (UML),272,Elected
291,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,9,51,M,Communist Party of Nepal (UML),277,Elected
292,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,9,37,M,Communist Party of Nepal (UML),274,Elected
293,Province 7,Bajura,Budhinanda Urban Municipality,Female Ward Member,9,50,F,Communist Party of Nepal (UML),275,Elected
294,Province 7,Bajura,Budhinanda Urban Municipality,Dalit Female Ward Member,9,65,F,Communist Party of Nepal (UML),275,Elected
295,Province 7,Bajura,Budhinanda Urban Municipality,Ward President,10,55,M,Communist Party of Nepal (UML),561,Elected
296,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,10,57,M,Communist Party of Nepal (UML),561,Elected
297,Province 7,Bajura,Budhinanda Urban Municipality,Ward Member,10,58,M,Communist Party of Nepal (UML),553,Elected
298,Province 7,Bajura,Budhinanda Urban Municipality,Female Ward Member,10,50,F,Communist Party of Nepal (UML),577,Elected
299,Province 7,Bajura,Budhinanda Urban Municipality,Dalit Female Ward Member,10,41,F,Communist Party of Nepal (UML),579,Elected
300,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Mayor,  ,44,M,Communist Party of Nepal (UML),2459,Elected
301,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Vice-Mayor,  ,55,F,Communist Party of Nepal (UML),2360,Elected
302,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Ward President,1,41,M,Communist Party of Nepal (UML),479,Elected
303,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Ward Member,1,56,M,Communist Party of Nepal (UML),424,Elected
304,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Ward Member,1,60,M,Nepali Congress,372,Elected
305,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Female Ward Member,1,74,F,Communist Party of Nepal (UML),437,Elected
306,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Dalit Female Ward Member,1,41,F,Communist Party of Nepal (UML),459,Elected
307,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Ward President,2,41,M,Nepali Congress,445,Elected
308,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Ward Member,2,50,M,Nepali Congress,415,Elected
309,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Ward Member,2,56,M,Nepali Congress,401,Elected
310,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Female Ward Member,2,51,F,Nepali Congress,428,Elected
311,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Dalit Female Ward Member,2,72,F,Nepali Congress,472,Elected
312,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Ward President,3,49,M,Communist Party of Nepal (UML),714,Elected
313,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Ward Member,3,66,M,Communist Party of Nepal (UML),810,Elected
314,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Ward Member,3,57,M,Communist Party of Nepal (UML),760,Elected
315,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Female Ward Member,3,29,F,Communist Party of Nepal (UML),795,Elected
316,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Dalit Female Ward Member,3,31,F,Communist Party of Nepal (UML),0,Unopposed
317,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Ward President,4,50,M,Nepali Congress,417,Elected
318,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Ward Member,4,52,M,Communist Party of Nepal (UML),438,Elected
319,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Ward Member,4,60,M,Communist Party of Nepal (UML),424,Elected
320,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Female Ward Member,4,32,F,Communist Party of Nepal (UML),424,Elected
321,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Dalit Female Ward Member,4,43,F,Communist Party of Nepal (UML),425,Elected
322,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Ward President,5,59,M,Communist Party of Nepal (UML),323,Elected
323,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Ward Member,5,40,M,Communist Party of Nepal (UML),325,Elected
324,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Ward Member,5,41,M,Communist Party of Nepal (UML),324,Elected
325,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Female Ward Member,5,46,F,Communist Party of Nepal (UML),324,Elected
326,Province 7,Bajura,Swamikartik Khapar Rural Municipality,Dalit Female Ward Member,5,54,F,Communist Party of Nepal (UML),337,Elected
327,Province 7,Bajura,Himali Rural Municipality,Mayor,  ,56,M,Nepali Congress,1776,Elected
328,Province 7,Bajura,Himali Rural Municipality,Vice-Mayor,  ,46,F,Nepali Congress,1673,Elected
329,Province 7,Bajura,Himali Rural Municipality,Ward President,1,32,M,Communist Party of Nepal (Maoist Centre),164,Elected
330,Province 7,Bajura,Himali Rural Municipality,Ward Member,1,46,M,Communist Party of Nepal (Maoist Centre),162,Elected
331,Province 7,Bajura,Himali Rural Municipality,Ward Member,1,54,M,Communist Party of Nepal (Maoist Centre),158,Elected
332,Province 7,Bajura,Himali Rural Municipality,Female Ward Member,1,30,F,Communist Party of Nepal (Maoist Centre),155,Elected
333,Province 7,Bajura,Himali Rural Municipality,Dalit Female Ward Member,1,32,F,Communist Party of Nepal (Maoist Centre),0,Unopposed
334,Province 7,Bajura,Himali Rural Municipality,Ward President,2,30,M,Communist Party of Nepal (UML),252,Elected
335,Province 7,Bajura,Himali Rural Municipality,Ward Member,2,47,M,Communist Party of Nepal (UML),251,Elected
336,Province 7,Bajura,Himali Rural Municipality,Ward Member,2,38,M,Communist Party of Nepal (UML),249,Elected
337,Province 7,Bajura,Himali Rural Municipality,Female Ward Member,2,33,F,Communist Party of Nepal (UML),251,Elected
338,Province 7,Bajura,Himali Rural Municipality,Ward President,3,55,M,Communist Party of Nepal (UML),144,Elected
339,Province 7,Bajura,Himali Rural Municipality,Ward Member,3,45,M,Communist Party of Nepal (UML),147,Elected
340,Province 7,Bajura,Himali Rural Municipality,Ward Member,3,44,M,Communist Party of Nepal (UML),142,Elected
341,Province 7,Bajura,Himali Rural Municipality,Female Ward Member,3,39,F,Communist Party of Nepal (UML),136,Elected
342,Province 7,Bajura,Himali Rural Municipality,Dalit Female Ward Member,3,47,F,Communist Party of Nepal (UML),140,Elected
343,Province 7,Bajura,Himali Rural Municipality,Ward President,4,42,M,Nepali Congress,342,Elected
344,Province 7,Bajura,Himali Rural Municipality,Ward Member,4,38,M,Nepali Congress,347,Elected
345,Province 7,Bajura,Himali Rural Municipality,Ward Member,4,43,M,Nepali Congress,345,Elected
346,Province 7,Bajura,Himali Rural Municipality,Female Ward Member,4,54,F,Nepali Congress,327,Elected
347,Province 7,Bajura,Himali Rural Municipality,Dalit Female Ward Member,4,46,F,Nepali Congress,361,Elected
348,Province 7,Bajura,Himali Rural Municipality,Ward President,5,36,M,Nepali Congress,366,Elected
349,Province 7,Bajura,Himali Rural Municipality,Ward Member,5,47,M,Nepali Congress,352,Elected
350,Province 7,Bajura,Himali Rural Municipality,Ward Member,5,42,M,Nepali Congress,347,Elected
351,Province 7,Bajura,Himali Rural Municipality,Female Ward Member,5,36,F,Nepali Congress,364,Elected
352,Province 7,Bajura,Himali Rural Municipality,Dalit Female Ward Member,5,44,F,Nepali Congress,355,Elected
353,Province 7,Bajura,Himali Rural Municipality,Ward President,6,40,M,Nepali Congress,471,Elected
354,Province 7,Bajura,Himali Rural Municipality,Ward Member,6,45,M,Nepali Congress,477,Elected
355,Province 7,Bajura,Himali Rural Municipality,Ward Member,6,44,M,Nepali Congress,472,Elected
356,Province 7,Bajura,Himali Rural Municipality,Female Ward Member,6,49,F,Nepali Congress,485,Elected
357,Province 7,Bajura,Himali Rural Municipality,Dalit Female Ward Member,6,73,F,Nepali Congress,479,Elected
358,Province 7,Bajura,Himali Rural Municipality,Ward President,7,45,M,Nepali Congress,186,Elected
359,Province 7,Bajura,Himali Rural Municipality,Ward Member,7,59,M,Nepali Congress,204,Elected
360,Province 7,Bajura,Himali Rural Municipality,Ward Member,7,55,M,Nepali Congress,187,Elected
361,Province 7,Bajura,Himali Rural Municipality,Female Ward Member,7,39,F,Nepali Congress,190,Elected
362,Province 7,Bajura,Himali Rural Municipality,Dalit Female Ward Member,7,51,F,Nepali Congress,191,Elected
363,Province 7,Achham,Kamal bazar Urban Municipality,Mayor,  ,66,M,Nepali Congress,3587,Elected
364,Province 7,Achham,Kamal bazar Urban Municipality,Vice-Mayor,  ,40,F,Nepali Congress,3672,Elected
365,Province 7,Achham,Kamal bazar Urban Municipality,Ward President,1,50,M,Nepali Congress,280,Elected
366,Province 7,Achham,Kamal bazar Urban Municipality,Ward Member,1,36,M,Nepali Congress,382,Elected
367,Province 7,Achham,Kamal bazar Urban Municipality,Ward Member,1,38,M,Nepali Congress,302,Elected
368,Province 7,Achham,Kamal bazar Urban Municipality,Female Ward Member,1,24,F,Nepali Congress,307,Elected
369,Province 7,Achham,Kamal bazar Urban Municipality,Dalit Female Ward Member,1,30,F,Nepali Congress,319,Elected
370,Province 7,Achham,Kamal bazar Urban Municipality,Ward President,2,44,M,Nepali Congress,197,Elected
371,Province 7,Achham,Kamal bazar Urban Municipality,Ward Member,2,44,M,Nepali Congress,214,Elected
372,Province 7,Achham,Kamal bazar Urban Municipality,Ward Member,2,41,M,Nepali Congress,207,Elected
373,Province 7,Achham,Kamal bazar Urban Municipality,Female Ward Member,2,49,F,Nepali Congress,214,Elected
374,Province 7,Achham,Kamal bazar Urban Municipality,Dalit Female Ward Member,2,33,F,Nepali Congress,207,Elected
375,Province 7,Achham,Kamal bazar Urban Municipality,Ward President,3,41,M,Nepali Congress,381,Elected
376,Province 7,Achham,Kamal bazar Urban Municipality,Ward Member,3,44,M,Nepali Congress,370,Elected
377,Province 7,Achham,Kamal bazar Urban Municipality,Ward Member,3,59,M,Nepali Congress,368,Elected
378,Province 7,Achham,Kamal bazar Urban Municipality,Female Ward Member,3,53,F,Nepali Congress,368,Elected
379,Province 7,Achham,Kamal bazar Urban Municipality,Dalit Female Ward Member,3,25,F,Communist Party of Nepal (UML),364,Elected
380,Province 7,Achham,Kamal bazar Urban Municipality,Ward President,4,43,M,Communist Party of Nepal (UML),477,Elected
381,Province 7,Achham,Kamal bazar Urban Municipality,Ward Member,4,36,M,Communist Party of Nepal (UML),486,Elected
382,Province 7,Achham,Kamal bazar Urban Municipality,Ward Member,4,52,M,Communist Party of Nepal (UML),477,Elected
383,Province 7,Achham,Kamal bazar Urban Municipality,Female Ward Member,4,26,F,Communist Party of Nepal (UML),488,Elected
384,Province 7,Achham,Kamal bazar Urban Municipality,Dalit Female Ward Member,4,23,F,Communist Party of Nepal (UML),487,Elected
385,Province 7,Achham,Kamal bazar Urban Municipality,Ward President,5,44,M,Communist Party of Nepal (UML),472,Elected
386,Province 7,Achham,Kamal bazar Urban Municipality,Ward Member,5,37,M,Communist Party of Nepal (UML),470,Elected
387,Province 7,Achham,Kamal bazar Urban Municipality,Ward Member,5,56,M,Communist Party of Nepal (UML),463,Elected
388,Province 7,Achham,Kamal bazar Urban Municipality,Female Ward Member,5,29,F,Communist Party of Nepal (UML),458,Elected
389,Province 7,Achham,Kamal bazar Urban Municipality,Dalit Female Ward Member,5,32,F,Communist Party of Nepal (UML),469,Elected
390,Province 7,Achham,Kamal bazar Urban Municipality,Ward President,6,45,M,Nepali Congress,523,Elected
391,Province 7,Achham,Kamal bazar Urban Municipality,Ward Member,6,41,M,Nepali Congress,464,Elected
392,Province 7,Achham,Kamal bazar Urban Municipality,Ward Member,6,31,M,Nepali Congress,445,Elected
393,Province 7,Achham,Kamal bazar Urban Municipality,Female Ward Member,6,75,F,Nepali Congress,439,Elected
394,Province 7,Achham,Kamal bazar Urban Municipality,Dalit Female Ward Member,6,41,F,Nepali Congress,465,Elected
395,Province 7,Achham,Kamal bazar Urban Municipality,Ward President,7,66,M,Nepali Congress,474,Elected
396,Province 7,Achham,Kamal bazar Urban Municipality,Ward Member,7,60,M,Nepali Congress,472,Elected
397,Province 7,Achham,Kamal bazar Urban Municipality,Ward Member,7,52,M,Nepali Congress,470,Elected
398,Province 7,Achham,Kamal bazar Urban Municipality,Female Ward Member,7,48,F,Nepali Congress,471,Elected
399,Province 7,Achham,Kamal bazar Urban Municipality,Dalit Female Ward Member,7,43,F,Nepali Congress,468,Elected
400,Province 7,Achham,Kamal bazar Urban Municipality,Ward President,8,58,M,Nepali Congress,282,Elected
401,Province 7,Achham,Kamal bazar Urban Municipality,Ward Member,8,31,M,Communist Party of Nepal (UML),300,Elected
402,Province 7,Achham,Kamal bazar Urban Municipality,Ward Member,8,44,M,Communist Party of Nepal (UML),284,Elected
403,Province 7,Achham,Kamal bazar Urban Municipality,Female Ward Member,8,59,F,Communist Party of Nepal (UML),293,Elected
