SN,District,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status,,
207,Saptari,Dakneshwori Urban Municipality,Ward Member,4,50,M,Sanghiya Samajbadi Forum-Nepal (SSFN),234,Elected,,
208,Saptari,Dakneshwori Urban Municipality,Ward Member,4,61,M,Sanghiya Samajbadi Forum-Nepal (SSFN),214,Elected,,
209,Saptari,Dakneshwori Urban Municipality,Female Ward Member,4,47,F,Sanghiya Samajbadi Forum-Nepal (SSFN),236,Elected,,
210,Saptari,Dakneshwori Urban Municipality,Dalit Female Ward Member,4,43,F,Sanghiya Samajbadi Forum-Nepal (SSFN),237,Elected,,
211,Saptari,Dakneshwori Urban Municipality,Ward President,5,61,M,"Rastriya Janata Party, Nepal",378,Elected,,
212,Saptari,Dakneshwori Urban Municipality,Ward Member,5,64,M,"Rastriya Janata Party, Nepal",408,Elected,,
213,Saptari,Dakneshwori Urban Municipality,Ward Member,5,46,M,"Rastriya Janata Party, Nepal",368,Elected,,
214,Saptari,Dakneshwori Urban Municipality,Female Ward Member,5,39,F,"Rastriya Janata Party, Nepal",397,Elected,,
215,Saptari,Dakneshwori Urban Municipality,Dalit Female Ward Member,5,27,F,"Rastriya Janata Party, Nepal",419,Elected,,
216,Saptari,Dakneshwori Urban Municipality,Ward President,6,55,M,Nepali Congress,554,Elected,,
217,Saptari,Dakneshwori Urban Municipality,Ward Member,6,54,M,Nepali Congress,705,Elected,,
218,Saptari,Dakneshwori Urban Municipality,Ward Member,6,51,M,Nepali Congress,601,Elected,,
219,Saptari,Dakneshwori Urban Municipality,Female Ward Member,6,38,F,Nepali Congress,600,Elected,,
220,Saptari,Dakneshwori Urban Municipality,Dalit Female Ward Member,6,42,F,Nepali Congress,584,Elected,,
221,Saptari,Dakneshwori Urban Municipality,Ward President,7,62,M,Sanghiya Samajbadi Forum-Nepal (SSFN),716,Elected,,
222,Saptari,Dakneshwori Urban Municipality,Ward Member,7,37,M,Sanghiya Samajbadi Forum-Nepal (SSFN),604,Elected,,
223,Saptari,Dakneshwori Urban Municipality,Ward Member,7,34,M,Sanghiya Samajbadi Forum-Nepal (SSFN),604,Elected,,
224,Saptari,Dakneshwori Urban Municipality,Female Ward Member,7,41,F,Sanghiya Samajbadi Forum-Nepal (SSFN),619,Elected,,
225,Saptari,Dakneshwori Urban Municipality,Dalit Female Ward Member,7,46,F,Sanghiya Samajbadi Forum-Nepal (SSFN),618,Elected,,
226,Saptari,Dakneshwori Urban Municipality,Ward President,8,45,M,Sanghiya Samajbadi Forum-Nepal (SSFN),648,Elected,,
227,Saptari,Dakneshwori Urban Municipality,Ward Member,8,28,M,Nepali Congress,670,Elected,,
228,Saptari,Dakneshwori Urban Municipality,Ward Member,8,44,M,Sanghiya Samajbadi Forum-Nepal (SSFN),652,Elected,,
229,Saptari,Dakneshwori Urban Municipality,Female Ward Member,8,42,F,Sanghiya Samajbadi Forum-Nepal (SSFN),681,Elected,,
230,Saptari,Dakneshwori Urban Municipality,Dalit Female Ward Member,8,47,F,Sanghiya Samajbadi Forum-Nepal (SSFN),662,Elected,,
231,Saptari,Dakneshwori Urban Municipality,Ward President,9,53,M,Communist Party of Nepal (UML),711,Elected,,
232,Saptari,Dakneshwori Urban Municipality,Ward Member,9,37,M,"Rastriya Janata Party, Nepal",727,Elected,,
233,Saptari,Dakneshwori Urban Municipality,Ward Member,9,43,M,"Rastriya Janata Party, Nepal",701,Elected,,
234,Saptari,Dakneshwori Urban Municipality,Female Ward Member,9,26,F,"Rastriya Janata Party, Nepal",752,Elected,,
235,Saptari,Dakneshwori Urban Municipality,Dalit Female Ward Member,9,29,F,"Rastriya Janata Party, Nepal",747,Elected,,
236,Saptari,Dakneshwori Urban Municipality,Ward President,10,52,M,"Rastriya Janata Party, Nepal",759,Elected,,
237,Saptari,Dakneshwori Urban Municipality,Ward Member,10,41,M,"Rastriya Janata Party, Nepal",739,Elected,,
238,Saptari,Dakneshwori Urban Municipality,Ward Member,10,50,M,"Rastriya Janata Party, Nepal",680,Elected,,
239,Saptari,Dakneshwori Urban Municipality,Female Ward Member,10,46,F,"Rastriya Janata Party, Nepal",777,Elected,,
