SN,District,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status,,
240,Saptari,Dakneshwori Urban Municipality,Dalit Female Ward Member,10,47,F,"Rastriya Janata Party, Nepal",759,Elected,,
241,Saptari,Tirahut Rural Municipality,Mayor,,38,M,Sanghiya Samajbadi Forum-Nepal (SSFN),"2,942",Elected,,
242,Saptari,Tirahut Rural Municipality,Vice-Mayor,,46,F,Sanghiya Samajbadi Forum-Nepal (SSFN),"2,740",Elected,,
243,Saptari,Tirahut Rural Municipality,Ward President,1,64,M,Sanghiya Samajbadi Forum-Nepal (SSFN),796,Elected,,
244,Saptari,Tirahut Rural Municipality,Ward Member,1,44,M,Sanghiya Samajbadi Forum-Nepal (SSFN),824,Elected,,
245,Saptari,Tirahut Rural Municipality,Ward Member,1,38,M,Sanghiya Samajbadi Forum-Nepal (SSFN),815,Elected,,
246,Saptari,Tirahut Rural Municipality,Female Ward Member,1,47,F,Sanghiya Samajbadi Forum-Nepal (SSFN),836,Elected,,
247,Saptari,Tirahut Rural Municipality,Dalit Female Ward Member,1,38,F,Sanghiya Samajbadi Forum-Nepal (SSFN),848,Elected,,
248,Saptari,Tirahut Rural Municipality,Ward President,2,43,M,Sanghiya Samajbadi Forum-Nepal (SSFN),452,Elected,,
249,Saptari,Tirahut Rural Municipality,Ward Member,2,51,M,Sanghiya Samajbadi Forum-Nepal (SSFN),421,Elected,,
250,Saptari,Tirahut Rural Municipality,Ward Member,2,32,M,Sanghiya Samajbadi Forum-Nepal (SSFN),371,Elected,,
251,Saptari,Tirahut Rural Municipality,Female Ward Member,2,45,F,Sanghiya Samajbadi Forum-Nepal (SSFN),390,Elected,,
252,Saptari,Tirahut Rural Municipality,Dalit Female Ward Member,2,34,F,Sanghiya Samajbadi Forum-Nepal (SSFN),397,Elected,,
253,Saptari,Tirahut Rural Municipality,Ward President,3,45,M,Nepali Congress,653,Elected,,
254,Saptari,Tirahut Rural Municipality,Ward Member,3,47,M,Nepali Congress,638,Elected,,
255,Saptari,Tirahut Rural Municipality,Ward Member,3,57,M,Nepali Congress,579,Elected,,
256,Saptari,Tirahut Rural Municipality,Female Ward Member,3,37,F,Nepali Congress,626,Elected,,
257,Saptari,Tirahut Rural Municipality,Dalit Female Ward Member,3,32,F,Nepali Congress,609,Elected,,
258,Saptari,Tirahut Rural Municipality,Ward President,4,33,M,"Rastriya Janata Party, Nepal Nepal",645,Elected,,
259,Saptari,Tirahut Rural Municipality,Ward Member,4,61,M,"Rastriya Janata Party, Nepal Nepal",529,Elected,,
260,Saptari,Tirahut Rural Municipality,Ward Member,4,30,M,"Rastriya Janata Party, Nepal Nepal",522,Elected,,
261,Saptari,Tirahut Rural Municipality,Female Ward Member,4,49,F,"Rastriya Janata Party, Nepal Nepal",554,Elected,,
262,Saptari,Tirahut Rural Municipality,Dalit Female Ward Member,4,40,F,"Rastriya Janata Party, Nepal Nepal",570,Elected,,
263,Saptari,Tirahut Rural Municipality,Ward President,5,31,M,Nepal Loktantric Forum,932,Elected,,
264,Saptari,Tirahut Rural Municipality,Ward Member,5,46,M,Nepal Loktantric Forum,824,Elected,,
265,Saptari,Tirahut Rural Municipality,Ward Member,5,29,M,Nepal Loktantric Forum,819,Elected,,
266,Saptari,Tirahut Rural Municipality,Female Ward Member,5,40,F,Nepal Loktantric Forum,853,Elected,,
267,Saptari,Tirahut Rural Municipality,Dalit Female Ward Member,5,58,F,Nepal Loktantric Forum,854,Elected,,
268,Saptari,Tilathi Koiladi Rural Municipality,Mayor,,34,M,"Rastriya Janata Party, Nepal","2,987",Elected,,
269,Saptari,Tilathi Koiladi Rural Municipality,Vice-Mayor,,24,F,"Rastriya Janata Party, Nepal","2,996",Elected,,
270,Saptari,Tilathi Koiladi Rural Municipality,Ward President,1,64,M,Nepali Congress,610,Elected,,
271,Saptari,Tilathi Koiladi Rural Municipality,Ward Member,1,72,M,Nepali Congress,294,Elected,,
272,Saptari,Tilathi Koiladi Rural Municipality,Ward Member,1,37,M,Nepal Loktantric Forum,278,Elected,,
273,Saptari,Tilathi Koiladi Rural Municipality,Female Ward Member,1,25,F,Nepali Congress,316,Elected,,
274,Saptari,Tilathi Koiladi Rural Municipality,Dalit Female Ward Member,1,35,F,Nepali Congress,316,Elected,,
275,Saptari,Tilathi Koiladi Rural Municipality,Ward President,2,47,M,Communist Party of Nepal (Maoist Centre),319,Elected,,
276,Saptari,Tilathi Koiladi Rural Municipality,Ward Member,2,40,M,"Rastriya Janata Party, Nepal",256,Elected,,
277,Saptari,Tilathi Koiladi Rural Municipality,Ward Member,2,37,M,"Rastriya Janata Party, Nepal",221,Elected,,
278,Saptari,Tilathi Koiladi Rural Municipality,Female Ward Member,2,41,F,Communist Party of Nepal (Maoist Centre),244,Elected,,
279,Saptari,Tilathi Koiladi Rural Municipality,Dalit Female Ward Member,2,47,F,Communist Party of Nepal (Maoist Centre),251,Elected,,
280,Saptari,Tilathi Koiladi Rural Municipality,Ward President,3,60,M,Nepali Congress,553,Elected,,
281,Saptari,Tilathi Koiladi Rural Municipality,Ward Member,3,41,M,"Rastriya Janata Party, Nepal",475,Elected,,
282,Saptari,Tilathi Koiladi Rural Municipality,Ward Member,3,64,M,Nepali Congress,433,Elected,,
283,Saptari,Tilathi Koiladi Rural Municipality,Female Ward Member,3,54,F,"Rastriya Janata Party, Nepal",465,Elected,,
284,Saptari,Tilathi Koiladi Rural Municipality,Dalit Female Ward Member,3,45,F,"Rastriya Janata Party, Nepal",463,Elected,,
285,Saptari,Tilathi Koiladi Rural Municipality,Ward President,4,40,M,"Rastriya Janata Party, Nepal",380,Elected,,
286,Saptari,Tilathi Koiladi Rural Municipality,Ward Member,4,59,M,"Rastriya Janata Party, Nepal",424,Elected,,
287,Saptari,Tilathi Koiladi Rural Municipality,Ward Member,4,51,M,"Rastriya Janata Party, Nepal",374,Elected,,
288,Saptari,Tilathi Koiladi Rural Municipality,Female Ward Member,4,41,F,"Rastriya Janata Party, Nepal",448,Elected,,
289,Saptari,Tilathi Koiladi Rural Municipality,Dalit Female Ward Member,4,37,F,"Rastriya Janata Party, Nepal",441,Elected,,
290,Saptari,Tilathi Koiladi Rural Municipality,Ward President,5,51,M,"Rastriya Janata Party, Nepal",553,Elected,,
291,Saptari,Tilathi Koiladi Rural Municipality,Ward Member,5,62,M,"Rastriya Janata Party, Nepal",553,Elected,,
292,Saptari,Tilathi Koiladi Rural Municipality,Ward Member,5,62,M,"Rastriya Janata Party, Nepal",499,Elected,,
293,Saptari,Tilathi Koiladi Rural Municipality,Female Ward Member,5,63,F,"Rastriya Janata Party, Nepal",586,Elected,,
294,Saptari,Tilathi Koiladi Rural Municipality,Dalit Female Ward Member,5,51,F,"Rastriya Janata Party, Nepal",602,Elected,,
295,Saptari,Tilathi Koiladi Rural Municipality,Ward President,6,50,M,Nepali Congress,185,Elected,,
296,Saptari,Tilathi Koiladi Rural Municipality,Ward Member,6,41,F,Nepali Congress,184,Elected,,
297,Saptari,Tilathi Koiladi Rural Municipality,Ward Member,6,54,M,"Rastriya Janata Party, Nepal",182,Elected,,
298,Saptari,Tilathi Koiladi Rural Municipality,Female Ward Member,6,32,F,Sanghiya Samajbadi Forum-Nepal (SSFN),189,Elected,,
299,Saptari,Tilathi Koiladi Rural Municipality,Ward President,7,61,M,Nepali Congress,585,Elected,,
300,Saptari,Tilathi Koiladi Rural Municipality,Ward Member,7,57,M,Nepali Congress,594,Elected,,
301,Saptari,Tilathi Koiladi Rural Municipality,Ward Member,7,51,M,Nepali Congress,584,Elected,,
302,Saptari,Tilathi Koiladi Rural Municipality,Female Ward Member,7,46,F,Nepali Congress,602,Elected,,
303,Saptari,Tilathi Koiladi Rural Municipality,Dalit Female Ward Member,7,44,F,Nepali Congress,607,Elected,,
304,Saptari,Tilathi Koiladi Rural Municipality,Ward President,8,45,M,"Rastriya Janata Party, Nepal",460,Elected,,
305,Saptari,Tilathi Koiladi Rural Municipality,Ward Member,8,55,M,"Rastriya Janata Party, Nepal",491,Elected,,
306,Saptari,Tilathi Koiladi Rural Municipality,Ward Member,8,40,M,"Rastriya Janata Party, Nepal",398,Elected,,
307,Saptari,Tilathi Koiladi Rural Municipality,Female Ward Member,8,37,F,"Rastriya Janata Party, Nepal",491,Elected,,
308,Saptari,Tilathi Koiladi Rural Municipality,Dalit Female Ward Member,8,40,F,"Rastriya Janata Party, Nepal",473,Elected,,
309,Saptari,Belhichepana Rural Municipality,Mayor,,62,M,Nepali Congress,"3,545",Elected,,
310,Saptari,Belhichepana Rural Municipality,Vice-Mayor,,45,F,Nepali Congress,"3,455",Elected,,
311,Saptari,Belhichepana Rural Municipality,Ward President,1,47,M,Nepali Congress,802,Elected,,
312,Saptari,Belhichepana Rural Municipality,Ward Member,1,39,M,Nepali Congress,772,Elected,,
313,Saptari,Belhichepana Rural Municipality,Ward Member,1,41,M,Nepali Congress,679,Elected,,
314,Saptari,Belhichepana Rural Municipality,Female Ward Member,1,47,F,Nepali Congress,718,Elected,,
315,Saptari,Belhichepana Rural Municipality,Dalit Female Ward Member,1,25,F,Nepali Congress,754,Elected,,
316,Saptari,Belhichepana Rural Municipality,Ward President,2,57,M,Sanghiya Samajbadi Forum-Nepal (SSFN),392,Elected,,
317,Saptari,Belhichepana Rural Municipality,Ward Member,2,48,M,Communist Party of Nepal (UML),373,Elected,,
318,Saptari,Belhichepana Rural Municipality,Ward Member,2,36,M,Sanghiya Samajbadi Forum-Nepal (SSFN),357,Elected,,
319,Saptari,Belhichepana Rural Municipality,Female Ward Member,2,43,F,Communist Party of Nepal (UML),375,Elected,,
320,Saptari,Belhichepana Rural Municipality,Dalit Female Ward Member,2,40,F,Communist Party of Nepal (UML),374,Elected,,
321,Saptari,Belhichepana Rural Municipality,Ward President,3,69,M,Nepali Congress,"1,013",Elected,,
322,Saptari,Belhichepana Rural Municipality,Ward Member,3,47,M,Nepali Congress,"1,045",Elected,,
323,Saptari,Belhichepana Rural Municipality,Ward Member,3,66,M,Nepali Congress,"1,009",Elected,,
324,Saptari,Belhichepana Rural Municipality,Female Ward Member,3,48,F,Nepali Congress,"1,015",Elected,,
325,Saptari,Belhichepana Rural Municipality,Dalit Female Ward Member,3,52,F,Nepali Congress,"1,054",Elected,,
326,Saptari,Belhichepana Rural Municipality,Ward President,4,39,M,Communist Party of Nepal (UML),931,Elected,,
327,Saptari,Belhichepana Rural Municipality,Ward Member,4,69,M,Communist Party of Nepal (UML),904,Elected,,
328,Saptari,Belhichepana Rural Municipality,Ward Member,4,39,M,Communist Party of Nepal (UML),858,Elected,,
329,Saptari,Belhichepana Rural Municipality,Female Ward Member,4,68,F,Communist Party of Nepal (UML),931,Elected,,
330,Saptari,Belhichepana Rural Municipality,Dalit Female Ward Member,4,59,F,Communist Party of Nepal (UML),910,Elected,,
331,Saptari,Belhichepana Rural Municipality,Ward President,5,68,M,Nepali Congress,448,Elected,,
332,Saptari,Belhichepana Rural Municipality,Ward Member,5,45,M,Nepali Congress,441,Elected,,
333,Saptari,Belhichepana Rural Municipality,Ward Member,5,66,M,Nepali Congress,421,Elected,,
334,Saptari,Belhichepana Rural Municipality,Female Ward Member,5,61,F,Nepali Congress,412,Elected,,
335,Saptari,Belhichepana Rural Municipality,Dalit Female Ward Member,5,35,F,Nepali Congress,439,Elected,,
336,Saptari,Belhichepana Rural Municipality,Ward President,6,45,M,"Rastriya Janata Party, Nepal",481,Elected,,
337,Saptari,Belhichepana Rural Municipality,Ward Member,6,52,M,"Rastriya Janata Party, Nepal",470,Elected,,
338,Saptari,Belhichepana Rural Municipality,Ward Member,6,69,M,"Rastriya Janata Party, Nepal",460,Elected,,
339,Saptari,Belhichepana Rural Municipality,Female Ward Member,6,61,F,"Rastriya Janata Party, Nepal",479,Elected,,
340,Saptari,Belhichepana Rural Municipality,Dalit Female Ward Member,6,71,F,"Rastriya Janata Party, Nepal",483,Elected,,
341,Saptari,Bode Barsain Urban Municipality,Mayor,,30,M,Sanghiya Samajbadi Forum-Nepal (SSFN),"4,547",Elected,,
342,Saptari,Bode Barsain Urban Municipality,Vice Mayor,,39,F,Sanghiya Samajbadi Forum-Nepal (SSFN),"3,721",Elected,,
343,Saptari,Bode Barsain Urban Municipality,Ward President,1,37,M,Sanghiya Samajbadi Forum-Nepal (SSFN),506,Elected,,
344,Saptari,Bode Barsain Urban Municipality,Ward Member,1,64,M,Sanghiya Samajbadi Forum-Nepal (SSFN),456,Elected,,
345,Saptari,Bode Barsain Urban Municipality,Ward Member,1,45,M,Sanghiya Samajbadi Forum-Nepal (SSFN),423,Elected,,
346,Saptari,Bode Barsain Urban Municipality,Female Ward Member,1,35,F,Sanghiya Samajbadi Forum-Nepal (SSFN),465,Elected,,
347,Saptari,Bode Barsain Urban Municipality,Dalit Female Ward Member,1,36,F,Sanghiya Samajbadi Forum-Nepal (SSFN),472,Elected,,
348,Saptari,Bode Barsain Urban Municipality,Ward President,2,51,M,"Rastriya Janata Party, Nepal",610,Elected,,
349,Saptari,Bode Barsain Urban Municipality,Ward Member,2,30,M,"Rastriya Janata Party, Nepal",541,Elected,,
350,Saptari,Bode Barsain Urban Municipality,Ward Member,2,46,M,"Rastriya Janata Party, Nepal",483,Elected,,
351,Saptari,Bode Barsain Urban Municipality,Female Ward Member,2,67,F,"Rastriya Janata Party, Nepal",533,Elected,,
352,Saptari,Bode Barsain Urban Municipality,Dalit Female Ward Member,2,58,F,"Rastriya Janata Party, Nepal",539,Elected,,
353,Saptari,Bode Barsain Urban Municipality,Ward President,3,32,M,Sanghiya Samajbadi Forum-Nepal (SSFN),628,Elected,,
354,Saptari,Bode Barsain Urban Municipality,Ward Member,3,28,M,Sanghiya Samajbadi Forum-Nepal (SSFN),529,Elected,,
355,Saptari,Bode Barsain Urban Municipality,Ward Member,3,41,M,Sanghiya Samajbadi Forum-Nepal (SSFN),517,Elected,,
356,Saptari,Bode Barsain Urban Municipality,Female Ward Member,3,46,F,Sanghiya Samajbadi Forum-Nepal (SSFN),608,Elected,,
357,Saptari,Bode Barsain Urban Municipality,Dalit Female Ward Member,3,47,F,Sanghiya Samajbadi Forum-Nepal (SSFN),567,Elected,,
358,Saptari,Bode Barsain Urban Municipality,Ward President,4,44,M,"Rastriya Janata Party, Nepal",188,Elected,,
359,Saptari,Bode Barsain Urban Municipality,Ward Member,4,39,M,"Rastriya Janata Party, Nepal",208,Elected,,
360,Saptari,Bode Barsain Urban Municipality,Ward Member,4,63,M,"Rastriya Janata Party, Nepal",198,Elected,,
361,Saptari,Bode Barsain Urban Municipality,Female Ward Member,4,32,F,"Rastriya Janata Party, Nepal",186,Elected,,
362,Saptari,Bode Barsain Urban Municipality,Dalit Female Ward Member,4,37,F,"Rastriya Janata Party, Nepal",193,Elected,,
363,Saptari,Bode Barsain Urban Municipality,Ward President,5,38,M,"Rastriya Janata Party, Nepal",696,Elected,,
364,Saptari,Bode Barsain Urban Municipality,Ward Member,5,50,M,"Rastriya Janata Party, Nepal",705,Elected,,
365,Saptari,Bode Barsain Urban Municipality,Ward Member,5,47,M,"Rastriya Janata Party, Nepal",591,Elected,,
366,Saptari,Bode Barsain Urban Municipality,Female Ward Member,5,28,F,"Rastriya Janata Party, Nepal",725,Elected,,
367,Saptari,Bode Barsain Urban Municipality,Dalit Female Ward Member,5,57,F,"Rastriya Janata Party, Nepal",746,Elected,,
368,Saptari,Bode Barsain Urban Municipality,Ward President,6,43,M,Sanghiya Samajbadi Forum-Nepal (SSFN),451,Elected,,
369,Saptari,Bode Barsain Urban Municipality,Ward Member,6,52,M,Sanghiya Samajbadi Forum-Nepal (SSFN),369,Elected,,
370,Saptari,Bode Barsain Urban Municipality,Ward Member,6,46,M,Sanghiya Samajbadi Forum-Nepal (SSFN),364,Elected,,
371,Saptari,Bode Barsain Urban Municipality,Female Ward Member,6,51,F,Sanghiya Samajbadi Forum-Nepal (SSFN),392,Elected,,
372,Saptari,Bode Barsain Urban Municipality,Dalit Female Ward Member,6,41,F,Sanghiya Samajbadi Forum-Nepal (SSFN),407,Elected,,
373,Saptari,Bode Barsain Urban Municipality,Ward President,7,53,M,Communist Party of Nepal (UML),360,Elected,,
374,Saptari,Bode Barsain Urban Municipality,Ward Member,7,51,M,Communist Party of Nepal (UML),333,Elected,,
375,Saptari,Bode Barsain Urban Municipality,Ward Member,7,35,M,Sanghiya Samajbadi Forum-Nepal (SSFN),323,Elected,,
376,Saptari,Bode Barsain Urban Municipality,Female Ward Member,7,54,F,"Rastriya Janata Party, Nepal",322,Elected,,
377,Saptari,Bode Barsain Urban Municipality,Dalit Female Ward Member,7,33,F,"Rastriya Janata Party, Nepal",320,Elected,,
378,Saptari,Bode Barsain Urban Municipality,Ward President,8,72,M,Sanghiya Samajbadi Forum-Nepal (SSFN),430,Elected,,
379,Saptari,Bode Barsain Urban Municipality,Ward Member,8,21,M,Nepali Congress,402,Elected,,
380,Saptari,Bode Barsain Urban Municipality,Ward Member,8,48,M,Nepali Congress,384,Elected,,
381,Saptari,Bode Barsain Urban Municipality,Female Ward Member,8,29,F,Sanghiya Samajbadi Forum-Nepal (SSFN),435,Elected,,
382,Saptari,Bode Barsain Urban Municipality,Dalit Female Ward Member,8,30,F,Sanghiya Samajbadi Forum-Nepal (SSFN),399,Elected,,
383,Saptari,Bode Barsain Urban Municipality,Ward President,9,39,M,Sanghiya Samajbadi Forum-Nepal (SSFN),525,Elected,,
384,Saptari,Bode Barsain Urban Municipality,Ward Member,9,49,M,Sanghiya Samajbadi Forum-Nepal (SSFN),551,Elected,,
385,Saptari,Bode Barsain Urban Municipality,Ward Member,9,57,M,Sanghiya Samajbadi Forum-Nepal (SSFN),464,Elected,,
386,Saptari,Bode Barsain Urban Municipality,Female Ward Member,9,40,F,Sanghiya Samajbadi Forum-Nepal (SSFN),521,Elected,,
387,Saptari,Bode Barsain Urban Municipality,Dalit Female Ward Member,9,49,F,Sanghiya Samajbadi Forum-Nepal (SSFN),488,Elected,,
388,Saptari,Bode Barsain Urban Municipality,Ward President,10,45,M,"Rastriya Janata Party, Nepal",413,Elected,,
389,Saptari,Bode Barsain Urban Municipality,Ward Member,10,68,M,"Rastriya Janata Party, Nepal",434,Elected,,
390,Saptari,Bode Barsain Urban Municipality,Ward Member,10,51,M,"Rastriya Janata Party, Nepal",399,Elected,,
391,Saptari,Bode Barsain Urban Municipality,Female Ward Member,10,35,F,"Rastriya Janata Party, Nepal",414,Elected,,
392,Saptari,Bode Barsain Urban Municipality,Dalit Female Ward Member,10,35,F,"Rastriya Janata Party, Nepal",411,Elected,,
393,Saptari,Mahadewa Rural Municipality,Mayor,,59,M,Sanghiya Samajbadi Forum-Nepal (SSFN),"3,091",Elected,,
394,Saptari,Mahadewa Rural Municipality,Vice-Mayor,,31,F,Sanghiya Samajbadi Forum-Nepal (SSFN),"2,749",Elected,,
395,Saptari,Mahadewa Rural Municipality,Ward President,1,46,M,Nepal Loktantric Forum,593,Elected,,
396,Saptari,Mahadewa Rural Municipality,Ward Member,1,38,M,Nepal Loktantric Forum,551,Elected,,
397,Saptari,Mahadewa Rural Municipality,Ward Member,1,36,M,Nepal Loktantric Forum,506,Elected,,
398,Saptari,Mahadewa Rural Municipality,Female Ward Member,1,53,F,Nepal Loktantric Forum,576,Elected,,
399,Saptari,Mahadewa Rural Municipality,Dalit Female Ward Member,1,39,F,Nepal Loktantric Forum,543,Elected,,
400,Saptari,Mahadewa Rural Municipality,Ward President,2,59,M,"Rastriya Janata Party, Nepal",573,Elected,,
401,Saptari,Mahadewa Rural Municipality,Ward Member,2,38,M,"Rastriya Janata Party, Nepal",676,Elected,,
402,Saptari,Mahadewa Rural Municipality,Ward Member,2,60,M,"Rastriya Janata Party, Nepal",661,Elected,,
403,Saptari,Mahadewa Rural Municipality,Female Ward Member,2,49,F,"Rastriya Janata Party, Nepal",613,Elected,,
404,Saptari,Mahadewa Rural Municipality,Dalit Female Ward Member,2,60,F,"Rastriya Janata Party, Nepal",803,Elected,,
405,Saptari,Mahadewa Rural Municipality,Ward President,3,50,M,Sanghiya Samajbadi Forum-Nepal (SSFN),210,Elected,,
406,Saptari,Mahadewa Rural Municipality,Ward Member,3,60,M,Sanghiya Samajbadi Forum-Nepal (SSFN),206,Elected,,
407,Saptari,Mahadewa Rural Municipality,Ward Member,3,39,M,Sanghiya Samajbadi Forum-Nepal (SSFN),199,Elected,,
408,Saptari,Mahadewa Rural Municipality,Female Ward Member,3,49,F,Sanghiya Samajbadi Forum-Nepal (SSFN),222,Elected,,
409,Saptari,Mahadewa Rural Municipality,Dalit Female Ward Member,3,47,F,Sanghiya Samajbadi Forum-Nepal (SSFN),224,Elected,,
410,Saptari,Mahadewa Rural Municipality,Ward President,4,57,M,Nepali Congress,642,Elected,,
411,Saptari,Mahadewa Rural Municipality,Ward Member,4,64,M,Communist Party of Nepal (Maoist Centre),581,Elected,,
412,Saptari,Mahadewa Rural Municipality,Ward Member,4,48,M,Communist Party of Nepal (Maoist Centre),577,Elected,,
413,Saptari,Mahadewa Rural Municipality,Female Ward Member,4,45,F,Nepali Congress,612,Elected,,
